#TYPE Selected.System.Collections.DictionaryEntry
"Iteration","Response_Time"
"765","156"
"766","146.6"
"767","148.5"
"768","152.8"
"769","148.7"
"770","156.8"
"771","162.7"
"772","160.9"
"773","150.9"
"774","174.6"
"775","177.5"
"776","145.6"
"777","144.8"
"778","192.4"
"779","166.8"
"780","155.5"
"781","176.1"
"782","146"
"783","146.5"
"784","166.6"
"785","151.7"
"786","165.5"
"787","162.3"
"788","147.7"
"789","148.7"
"790","176.5"
"791","146.2"
"792","141.7"
"793","158.3"
"794","151.1"
"795","166.4"
"796","158.9"
"797","157.9"
"798","156.5"
"799","164.1"
"800","158"
"801","146.5"
"802","151.3"
"803","159.1"
"804","155.5"
"805","168"
"806","165.1"
"807","153.8"
"808","146.2"
"809","161.1"
"810","155.5"
"811","164.8"
"812","150.1"
"813","168.5"
"814","145.9"
"815","160.4"
"816","147.2"
"817","175.2"
"818","168.1"
"819","154.2"
"820","145.4"
"821","152.9"
"822","152.1"
"823","144.3"
"824","146.6"
"825","146.9"
"826","154.3"
"827","146.7"
"828","161.6"
"829","153.5"
"830","151.3"
"831","156.4"
"832","160.1"
"833","145.4"
"834","148.8"
"835","150.4"
"836","147.9"
"837","188.7"
"838","175.5"
"839","171.7"
"840","151.3"
"841","146.9"
"842","150.6"
"843","156.5"
"844","189.9"
"845","181.2"
"846","174.8"
"847","157.3"
"848","160.2"
"849","158.6"
"850","146.4"
"851","160.1"
"852","151.2"
"853","150.7"
"854","153.7"
"855","146"
"856","181"
"857","146.9"
"858","147"
"859","150.2"
"860","153"
"861","168"
"862","154.8"
"863","147.6"
"864","166.5"
"865","155.8"
"866","145.9"
"867","148.1"
"868","186.9"
"869","155.1"
"870","145.6"
"871","154.5"
"872","148.9"
"873","147.3"
"874","158.8"
"875","169.1"
"876","209"
"877","165"
"878","145.7"
"879","149.7"
"880","152.3"
"881","144.7"
"882","145.4"
"883","163.9"
"884","168.5"
"885","171.7"
"886","149.9"
"887","157.4"
"888","162.5"
"889","146.2"
"890","181.8"
"891","172.8"
"892","175.9"
"893","161"
"894","145.1"
"895","150.1"
"896","152.4"
"897","148.1"
"898","149"
"899","194.2"
"900","187.8"
"901","154"
"902","159.5"
"903","179.3"
"904","146.4"
"905","159.4"
"906","146.4"
"907","208"
"908","160.9"
"909","149"
"910","166.4"
"911","165.8"
"912","177.7"
"913","150.2"
"914","146.9"
"915","153.8"
"916","398.5"
"917","148.7"
"918","160.5"
"919","145.7"
"920","143.9"
"921","153.8"
"922","174.9"
"923","145"
"924","156.8"
"925","153.6"
"926","167"
"927","165"
"928","151.8"
"929","173.2"
"930","151"
"931","152.2"
"932","150.2"
"933","169"
"934","146.2"
"935","147.5"
"936","153.8"
"937","198.2"
"938","151.2"
"939","175.3"
"940","170.1"
"941","169"
"942","146.2"
"943","154.7"
"944","147.7"
"945","146.7"
"946","152.4"
"947","150.3"
"948","149.7"
"949","160.1"
"950","170.1"
"951","154.2"
"952","161.4"
"953","152.6"
"954","144.4"
"955","159.5"
"956","143.5"
"957","152.8"
"958","151.9"
"959","146.1"
"960","173.3"
"961","213.3"
"962","151.7"
"963","154.1"
"964","157.4"
"965","168.9"
"966","142"
"967","149.6"
"968","181.7"
"969","146"
"970","147.1"
"971","161.5"
"972","155.3"
"973","163.3"
"974","157.8"
"975","147.5"
"976","167.5"
"977","164.2"
"978","166.1"
"979","147.9"
"980","151.9"
"981","147.5"
"982","154"
"983","158.2"
"984","145.4"
"985","152.7"
"986","152"
"987","148.5"
"988","146.6"
"989","165.2"
"990","148.9"
"991","142.2"
"992","184"
"993","161.7"
"994","148.1"
"995","159.4"
"996","158.8"
"997","166.4"
"998","144.5"
"999","154.8"
